filename,class,foreground_pixels,foreground_ratio,status
IMG_20211106_142738 (Custom).jpg,Bacterial Canker,14594,0.1900,success
IMG_20211106_134855 (Custom).jpg,Bacterial Canker,9587,0.1248,success
IMG_20211106_143238 (Custom).jpg,Bacterial Canker,10139,0.1320,success
IMG_20211106_141707 (Custom).jpg,Bacterial Canker,22349,0.2910,success
IMG_20211106_141154 (Custom).jpg,Bacterial Canker,16122,0.2099,success
IMG_20211106_141106 (Custom).jpg,Bacterial Canker,8103,0.1055,success
IMG_20211106_135515 (Custom).jpg,Bacterial Canker,5671,0.0738,success
IMG_20211106_142809 (Custom).jpg,Bacterial Canker,8941,0.1164,success
IMG_20211106_143157 (Custom).jpg,Bacterial Canker,6263,0.0815,success
IMG_20211106_134613 (Custom).jpg,Bacterial Canker,7655,0.0997,success
IMG_20211106_141941 (Custom).jpg,Bacterial Canker,13299,0.1732,success
IMG_20211106_134641 (Custom).jpg,Bacterial Canker,9949,0.1295,success
IMG_20211106_121216 (Custom).jpg,Bacterial Canker,16925,0.2204,success
IMG_20211106_135314 (Custom).jpg,Bacterial Canker,10072,0.1311,success
IMG_20211106_143027 (Custom).jpg,Bacterial Canker,8702,0.1133,success
IMG_20211106_141913 (Custom).jpg,Bacterial Canker,11087,0.1444,success
IMG_20211106_141113 (Custom).jpg,Bacterial Canker,6108,0.0795,success
IMG_20211106_142608 (Custom).jpg,Bacterial Canker,3366,0.0438,success
IMG_20211106_134930 (Custom).jpg,Bacterial Canker,37193,0.4843,success
IMG_20211106_134812 (Custom).jpg,Bacterial Canker,6461,0.0841,success
IMG_20211106_140441 (Custom).jpg,Bacterial Canker,30915,0.4025,success
IMG_20211106_135958_1 (Custom).jpg,Bacterial Canker,10983,0.1430,success
IMG_20211106_134815 (Custom).jpg,Bacterial Canker,24148,0.3144,success
IMG_20211106_135354 (Custom).jpg,Bacterial Canker,17321,0.2255,success
IMG_20211106_143145 (Custom).jpg,Bacterial Canker,7194,0.0937,success
IMG_20211106_143110 (Custom).jpg,Bacterial Canker,11554,0.1504,success
IMG_20211106_121405 (Custom).jpg,Bacterial Canker,13694,0.1783,success
IMG_20211106_141901 (Custom).jpg,Bacterial Canker,7430,0.0967,success
IMG_20211106_134653 (Custom).jpg,Bacterial Canker,5657,0.0737,success
IMG_20211106_143117 (Custom).jpg,Bacterial Canker,31236,0.4067,success
IMG_20211106_121016 (Custom).jpg,Bacterial Canker,32793,0.4270,success
IMG_20211106_135747 (Custom).jpg,Bacterial Canker,20305,0.2644,success
IMG_20211106_135036 (Custom).jpg,Bacterial Canker,7624,0.0993,success
IMG_20211106_143305 (Custom).jpg,Bacterial Canker,23140,0.3013,success
IMG_20211106_135637 (Custom).jpg,Bacterial Canker,24396,0.3177,success
IMG_20211106_121133 (Custom).jpg,Bacterial Canker,9304,0.1211,success
IMG_20211106_142816 (Custom).jpg,Bacterial Canker,7078,0.0922,success
IMG_20211106_140653 (Custom).jpg,Bacterial Canker,17176,0.2236,success
IMG_20211106_134659 (Custom).jpg,Bacterial Canker,5379,0.0700,success
IMG_20211106_142934 (Custom).jpg,Bacterial Canker,10133,0.1319,success
IMG_20211106_142811 (Custom).jpg,Bacterial Canker,7971,0.1038,success
IMG_20211106_142844 (Custom).jpg,Bacterial Canker,8211,0.1069,success
IMG_20211106_141301 (Custom).jpg,Bacterial Canker,5513,0.0718,success
IMG_20211106_142538 (Custom).jpg,Bacterial Canker,9559,0.1245,success
IMG_20211106_142617 (Custom).jpg,Bacterial Canker,12843,0.1672,success
IMG_20211106_143342 (Custom).jpg,Bacterial Canker,16707,0.2175,success
IMG_20211106_135700 (Custom).jpg,Bacterial Canker,13666,0.1779,success
IMG_20211106_121121 (Custom).jpg,Bacterial Canker,13285,0.1730,success
IMG_20211106_135023 (Custom).jpg,Bacterial Canker,6405,0.0834,success
IMG_20211106_143310 (Custom).jpg,Bacterial Canker,23027,0.2998,success
IMG_20211106_143345 (Custom).jpg,Bacterial Canker,21127,0.2751,success
IMG_20211106_135707 (Custom).jpg,Bacterial Canker,14539,0.1893,success
IMG_20211106_121056 (Custom).jpg,Bacterial Canker,11815,0.1538,success
IMG_20211106_141919 (Custom).jpg,Bacterial Canker,10871,0.1415,success
IMG_20211106_140012 (Custom).jpg,Bacterial Canker,5769,0.0751,success
IMG_20211106_142926 (Custom).jpg,Bacterial Canker,3709,0.0483,success
IMG_20211106_135518 (Custom).jpg,Bacterial Canker,5905,0.0769,success
IMG_20211106_142921 (Custom).jpg,Bacterial Canker,3521,0.0458,success
IMG_20211106_142803 (Custom).jpg,Bacterial Canker,10565,0.1376,success
IMG_20211106_142856 (Custom).jpg,Bacterial Canker,9898,0.1289,success
IMG_20211106_140941 (Custom).jpg,Bacterial Canker,17658,0.2299,success
IMG_20211106_135646 (Custom).jpg,Bacterial Canker,12744,0.1659,success
IMG_20211106_135637_1 (Custom).jpg,Bacterial Canker,24144,0.3144,success
IMG_20211106_142105 (Custom).jpg,Bacterial Canker,14503,0.1888,success
IMG_20211106_135736 (Custom).jpg,Bacterial Canker,19669,0.2561,success
IMG_20211106_142621 (Custom).jpg,Bacterial Canker,6036,0.0786,success
IMG_20211106_142703 (Custom).jpg,Bacterial Canker,9174,0.1195,success
IMG_20211106_142756 (Custom).jpg,Bacterial Canker,10220,0.1331,success
IMG_20211106_141252 (Custom).jpg,Bacterial Canker,5592,0.0728,success
IMG_20211106_140023 (Custom).jpg,Bacterial Canker,12998,0.1692,success
IMG_20211106_135800 (Custom).jpg,Bacterial Canker,34580,0.4503,success
IMG_20211106_135258 (Custom).jpg,Bacterial Canker,5665,0.0738,success
IMG_20211106_142945 (Custom).jpg,Bacterial Canker,5908,0.0769,success
IMG_20211106_135328 (Custom).jpg,Bacterial Canker,5419,0.0706,success
IMG_20211106_141524 (Custom).jpg,Bacterial Canker,27222,0.3545,success
IMG_20211106_135459 (Custom).jpg,Bacterial Canker,5895,0.0768,success
IMG_20211106_135925 (Custom).jpg,Bacterial Canker,22977,0.2992,success
IMG_20211106_140622 (Custom).jpg,Bacterial Canker,15295,0.1992,success
IMG_20211106_143139 (Custom).jpg,Bacterial Canker,9182,0.1196,success
IMG_20211106_140229 (Custom).jpg,Bacterial Canker,9283,0.1209,success
IMG_20211106_135654 (Custom).jpg,Bacterial Canker,6387,0.0832,success
IMG_20211106_143216 (Custom).jpg,Bacterial Canker,7431,0.0968,success
IMG_20211106_142743 (Custom).jpg,Bacterial Canker,14731,0.1918,success
IMG_20211106_142110 (Custom).jpg,Bacterial Canker,12391,0.1613,success
IMG_20211106_142711 (Custom).jpg,Bacterial Canker,7049,0.0918,success
IMG_20211106_143244 (Custom).jpg,Bacterial Canker,13745,0.1790,success
IMG_20211106_142633 (Custom).jpg,Bacterial Canker,12857,0.1674,success
IMG_20211106_121102 (Custom).jpg,Bacterial Canker,10325,0.1344,success
IMG_20211106_121157 (Custom).jpg,Bacterial Canker,5691,0.0741,success
IMG_20211106_141659 (Custom).jpg,Bacterial Canker,10568,0.1376,success
IMG_20211106_142827 (Custom).jpg,Bacterial Canker,4525,0.0589,success
IMG_20211106_140031 (Custom).jpg,Bacterial Canker,23160,0.3016,success
IMG_20211106_135847 (Custom).jpg,Bacterial Canker,23982,0.3123,success
IMG_20211106_140715 (Custom).jpg,Bacterial Canker,24276,0.3161,success
IMG_20211106_142820 (Custom).jpg,Bacterial Canker,5668,0.0738,success
IMG_20211106_135218 (Custom).jpg,Bacterial Canker,13065,0.1701,success
IMG_20211106_134400 (Custom).jpg,Bacterial Canker,58456,0.7611,success
IMG_20211106_140854 (Custom).jpg,Bacterial Canker,20472,0.2666,success
IMG_20211106_142734 (Custom).jpg,Bacterial Canker,9995,0.1301,success
IMG_20211106_134859 (Custom).jpg,Bacterial Canker,10423,0.1357,success
IMG_20211106_135025 (Custom).jpg,Bacterial Canker,6972,0.0908,success
IMG_20211106_141312 (Custom).jpg,Bacterial Canker,7411,0.0965,success
IMG_20211106_140014 (Custom).jpg,Bacterial Canker,7279,0.0948,success
IMG_20211106_141230 (Custom).jpg,Bacterial Canker,7720,0.1005,success
IMG_20211106_135318 (Custom).jpg,Bacterial Canker,4882,0.0636,success
IMG_20211106_142850 (Custom).jpg,Bacterial Canker,6130,0.0798,success
IMG_20211106_142805 (Custom).jpg,Bacterial Canker,11667,0.1519,success
IMG_20211106_140846 (Custom).jpg,Bacterial Canker,15866,0.2066,success
IMG_20211106_120839 (Custom).jpg,Bacterial Canker,13922,0.1813,success
IMG_20211106_143356 (Custom).jpg,Bacterial Canker,10492,0.1366,success
IMG_20211106_143303 (Custom).jpg,Bacterial Canker,30708,0.3998,success
IMG_20211106_134819 (Custom).jpg,Bacterial Canker,1872,0.0244,success
IMG_20211106_134336 (Custom).jpg,Bacterial Canker,13654,0.1778,success
IMG_20211106_142050 (Custom).jpg,Bacterial Canker,21530,0.2803,success
IMG_20211106_135140 (Custom).jpg,Bacterial Canker,12601,0.1641,success
IMG_20211106_135115 (Custom).jpg,Bacterial Canker,6030,0.0785,success
IMG_20211106_143226 (Custom).jpg,Bacterial Canker,9598,0.1250,success
IMG_20211106_140006 (Custom).jpg,Bacterial Canker,15847,0.2063,success
IMG_20211106_140001 (Custom).jpg,Bacterial Canker,10296,0.1341,success
IMG_20211106_135955 (Custom).jpg,Bacterial Canker,15895,0.2070,success
IMG_20211106_143149 (Custom).jpg,Bacterial Canker,6339,0.0825,success
IMG_20211106_140429 (Custom).jpg,Bacterial Canker,9635,0.1255,success
IMG_20211106_141129 (Custom).jpg,Bacterial Canker,6127,0.0798,success
IMG_20211106_143416 (Custom).jpg,Bacterial Canker,25466,0.3316,success
IMG_20211106_135725 (Custom).jpg,Bacterial Canker,5793,0.0754,success
IMG_20211106_134352 (Custom).jpg,Bacterial Canker,38274,0.4984,success
IMG_20211106_134958 (Custom).jpg,Bacterial Canker,5624,0.0732,success
IMG_20211106_135053 (Custom).jpg,Bacterial Canker,5121,0.0667,success
IMG_20211106_143242 (Custom).jpg,Bacterial Canker,9443,0.1230,success
IMG_20211106_142717 (Custom).jpg,Bacterial Canker,4829,0.0629,success
IMG_20211106_141059 (Custom).jpg,Bacterial Canker,10870,0.1415,success
IMG_20211106_142956 (Custom).jpg,Bacterial Canker,3548,0.0462,success
IMG_20211106_134719 (Custom).jpg,Bacterial Canker,5134,0.0668,success
IMG_20211106_121349 (Custom).jpg,Bacterial Canker,13984,0.1821,success
IMG_20211106_121033 (Custom).jpg,Bacterial Canker,37601,0.4896,success
IMG_20211106_140519 (Custom).jpg,Bacterial Canker,25497,0.3320,success
IMG_20211106_134340 (Custom).jpg,Bacterial Canker,17110,0.2228,success
IMG_20211106_135640 (Custom).jpg,Bacterial Canker,26897,0.3502,success
IMG_20211106_143404 (Custom).jpg,Bacterial Canker,21161,0.2755,success
IMG_20211106_135046 (Custom).jpg,Bacterial Canker,9206,0.1199,success
IMG_20211106_121144 (Custom).jpg,Bacterial Canker,11901,0.1550,success
IMG_20211106_134546 (Custom).jpg,Bacterial Canker,19548,0.2545,success
IMG_20211106_121111 (Custom).jpg,Bacterial Canker,11362,0.1479,success
IMG_20211106_143250 (Custom).jpg,Bacterial Canker,27166,0.3537,success
IMG_20211106_135136 (Custom).jpg,Bacterial Canker,8899,0.1159,success
IMG_20211106_135730 (Custom).jpg,Bacterial Canker,11966,0.1558,success
IMG_20211106_135041 (Custom).jpg,Bacterial Canker,8328,0.1084,success
IMG_20211106_134541 (Custom).jpg,Bacterial Canker,10224,0.1331,success
IMG_20211106_142627 (Custom).jpg,Bacterial Canker,8498,0.1107,success
IMG_20211106_134629 (Custom).jpg,Bacterial Canker,10337,0.1346,success
IMG_20211106_135853 (Custom).jpg,Bacterial Canker,27154,0.3536,success
IMG_20211106_135528 (Custom).jpg,Bacterial Canker,7856,0.1023,success
IMG_20211106_141324 (Custom).jpg,Bacterial Canker,8938,0.1164,success
IMG_20211106_142943 (Custom).jpg,Bacterial Canker,5533,0.0720,success
IMG_20211106_141929 (Custom).jpg,Bacterial Canker,8657,0.1127,success
IMG_20211106_141235 (Custom).jpg,Bacterial Canker,7196,0.0937,success
IMG_20211106_142807 (Custom).jpg,Bacterial Canker,8680,0.1130,success
IMG_20211106_143159 (Custom).jpg,Bacterial Canker,6435,0.0838,success
IMG_20211106_142922 (Custom).jpg,Bacterial Canker,3464,0.0451,success
IMG_20211106_134738 (Custom).jpg,Bacterial Canker,6223,0.0810,success
IMG_20211106_140134 (Custom).jpg,Bacterial Canker,12181,0.1586,success
IMG_20211106_140804 (Custom).jpg,Bacterial Canker,15133,0.1970,success
IMG_20211106_140851 (Custom).jpg,Bacterial Canker,8272,0.1077,success
IMG_20211106_142012 (Custom).jpg,Bacterial Canker,13390,0.1743,success
IMG_20211106_140926 (Custom).jpg,Bacterial Canker,20665,0.2691,success
IMG_20211106_134405 (Custom).jpg,Bacterial Canker,62724,0.8167,success
IMG_20211106_143236 (Custom).jpg,Bacterial Canker,12746,0.1660,success
IMG_20211106_142613 (Custom).jpg,Bacterial Canker,10852,0.1413,success
IMG_20211106_142040 (Custom).jpg,Bacterial Canker,3471,0.0452,success
IMG_20211106_143231 (Custom).jpg,Bacterial Canker,7534,0.0981,success
IMG_20211106_135157 (Custom).jpg,Bacterial Canker,21512,0.2801,success
IMG_20211106_142840 (Custom).jpg,Bacterial Canker,6341,0.0826,success
IMG_20211106_140056 (Custom).jpg,Bacterial Canker,16979,0.2211,success
IMG_20211106_142847 (Custom).jpg,Bacterial Canker,7156,0.0932,success
IMG_20211106_134608 (Custom).jpg,Bacterial Canker,7489,0.0975,success
IMG_20211106_140004 (Custom).jpg,Bacterial Canker,10634,0.1385,success
IMG_20211106_135827 (Custom).jpg,Bacterial Canker,17123,0.2230,success
IMG_20211106_135142 (Custom).jpg,Bacterial Canker,13310,0.1733,success
IMG_20211106_140448 (Custom).jpg,Bacterial Canker,23783,0.3097,success
IMG_20211106_141148 (Custom).jpg,Bacterial Canker,15482,0.2016,success
IMG_20211106_142723 (Custom).jpg,Bacterial Canker,8265,0.1076,success
IMG_20211106_143223 (Custom).jpg,Bacterial Canker,9059,0.1180,success
IMG_20211106_135743 (Custom).jpg,Bacterial Canker,10411,0.1356,success
IMG_20211106_142601 (Custom).jpg,Bacterial Canker,11337,0.1476,success
IMG_20211106_143301 (Custom).jpg,Bacterial Canker,8655,0.1127,success
IMG_20211106_140634 (Custom).jpg,Bacterial Canker,20771,0.2705,success
IMG_20211106_135538 (Custom).jpg,Bacterial Canker,7895,0.1028,success
IMG_20211106_135933 (Custom).jpg,Bacterial Canker,11241,0.1464,success
IMG_20211106_142558 (Custom).jpg,Bacterial Canker,6240,0.0813,success
IMG_20211106_142823 (Custom).jpg,Bacterial Canker,5064,0.0659,success
IMG_20211106_142954 (Custom).jpg,Bacterial Canker,3601,0.0469,success
IMG_20211106_143215 (Custom).jpg,Bacterial Canker,7029,0.0915,success
IMG_20211106_143240 (Custom).jpg,Bacterial Canker,10057,0.1310,success
IMG_20211106_121106 (Custom).jpg,Bacterial Canker,9621,0.1253,success
IMG_20211106_121153 (Custom).jpg,Bacterial Canker,17755,0.2312,success
IMG_20211106_143413 (Custom).jpg,Bacterial Canker,28918,0.3765,success
IMG_20211106_135650 (Custom).jpg,Bacterial Canker,7771,0.1012,success
IMG_20211106_143247 (Custom).jpg,Bacterial Canker,22485,0.2928,success
IMG_20211106_120928 (Custom).jpg,Bacterial Canker,9853,0.1283,success
IMG_20211106_142747 (Custom).jpg,Bacterial Canker,15578,0.2028,success
IMG_20211106_142630 (Custom).jpg,Bacterial Canker,10347,0.1347,success
IMG_20211106_143414 (Custom).jpg,Bacterial Canker,23825,0.3102,success
IMG_20211106_134420_1 (Custom).jpg,Bacterial Canker,9401,0.1224,success
IMG_20211106_142914 (Custom).jpg,Bacterial Canker,4075,0.0531,success
IMG_20211106_142941 (Custom).jpg,Bacterial Canker,5505,0.0717,success
IMG_20211106_135408 (Custom).jpg,Bacterial Canker,12177,0.1586,success
IMG_20211106_135856 (Custom).jpg,Bacterial Canker,17579,0.2289,success
IMG_20211106_135804 (Custom).jpg,Bacterial Canker,25469,0.3316,success
IMG_20211106_143401 (Custom).jpg,Bacterial Canker,9478,0.1234,success
IMG_20211106_134516 (Custom).jpg,Bacterial Canker,19615,0.2554,success
IMG_20211106_121141 (Custom).jpg,Bacterial Canker,11327,0.1475,success
IMG_20211106_142707 (Custom).jpg,Bacterial Canker,7692,0.1002,success
IMG_20211106_141049 (Custom).jpg,Bacterial Canker,9408,0.1225,success
IMG_20211106_135133 (Custom).jpg,Bacterial Canker,8727,0.1136,success
IMG_20211106_141303 (Custom).jpg,Bacterial Canker,5382,0.0701,success
IMG_20211106_135903 (Custom).jpg,Bacterial Canker,15453,0.2012,success
IMG_20211106_135508 (Custom).jpg,Bacterial Canker,6956,0.0906,success
IMG_20211106_142814 (Custom).jpg,Bacterial Canker,7129,0.0928,success
IMG_20211106_140604 (Custom).jpg,Bacterial Canker,16386,0.2134,success
IMG_20211106_135717 (Custom).jpg,Bacterial Canker,19708,0.2566,success
IMG_20211106_134938 (Custom).jpg,Bacterial Canker,5107,0.0665,success
IMG_20211106_135144 (Custom).jpg,Bacterial Canker,15614,0.2033,success
IMG_20211106_134444 (Custom).jpg,Bacterial Canker,8731,0.1137,success
IMG_20211106_135710 (Custom).jpg,Bacterial Canker,21087,0.2746,success
IMG_20211106_142652 (Custom).jpg,Bacterial Canker,10930,0.1423,success
IMG_20211106_143307 (Custom).jpg,Bacterial Canker,15538,0.2023,success
IMG_20211106_134416 (Custom).jpg,Bacterial Canker,7949,0.1035,success
IMG_20211106_135548 (Custom).jpg,Bacterial Canker,5279,0.0687,success
IMG_20211106_135834 (Custom).jpg,Bacterial Canker,17642,0.2297,success
IMG_20211106_140017 (Custom).jpg,Bacterial Canker,11730,0.1527,success
IMG_20211106_141316 (Custom).jpg,Bacterial Canker,8467,0.1102,success
IMG_20211106_135349 (Custom).jpg,Bacterial Canker,17715,0.2307,success
IMG_20211106_142924 (Custom).jpg,Bacterial Canker,3593,0.0468,success
IMG_20211106_142014 (Custom).jpg,Bacterial Canker,6447,0.0839,success
IMG_20211106_134403 (Custom).jpg,Bacterial Canker,10131,0.1319,success
IMG_20211106_134808 (Custom).jpg,Bacterial Canker,7974,0.1038,success
IMG_20211106_143312 (Custom).jpg,Bacterial Canker,19624,0.2555,success
IMG_20211106_141109 (Custom).jpg,Bacterial Canker,7503,0.0977,success
IMG_20211106_135151 (Custom).jpg,Bacterial Canker,15977,0.2080,success
IMG_20211106_121053 (Custom).jpg,Bacterial Canker,11236,0.1463,success
IMG_20211106_142615 (Custom).jpg,Bacterial Canker,11417,0.1487,success
IMG_20211106_135927 (Custom).jpg,Bacterial Canker,26627,0.3467,success
IMG_20211106_141320 (Custom).jpg,Bacterial Canker,11034,0.1437,success
IMG_20211106_141257 (Custom).jpg,Bacterial Canker,6672,0.0869,success
IMG_20211106_140702 (Custom).jpg,Bacterial Canker,16879,0.2198,success
IMG_20211106_142947 (Custom).jpg,Bacterial Canker,5437,0.0708,success
IMG_20211106_142912 (Custom).jpg,Bacterial Canker,4471,0.0582,success
IMG_20211106_140026 (Custom).jpg,Bacterial Canker,11092,0.1444,success
IMG_20211106_142940 (Custom).jpg,Bacterial Canker,6043,0.0787,success
IMG_20211106_141521 (Custom).jpg,Bacterial Canker,15915,0.2072,success
IMG_20211106_143254 (Custom).jpg,Bacterial Canker,30129,0.3923,success
IMG_20211106_141649 (Custom).jpg,Bacterial Canker,4281,0.0557,success
IMG_20211106_135734 (Custom).jpg,Bacterial Canker,19995,0.2604,success
IMG_20211106_142753 (Custom).jpg,Bacterial Canker,7622,0.0992,success
IMG_20211106_134344 (Custom).jpg,Bacterial Canker,23465,0.3055,success
IMG_20211106_135644 (Custom).jpg,Bacterial Canker,17010,0.2215,success
IMG_20211106_140834 (Custom).jpg,Bacterial Canker,17023,0.2217,success
IMG_20211106_121115 (Custom).jpg,Bacterial Canker,13385,0.1743,success
IMG_20211106_134949 (Custom).jpg,Bacterial Canker,2155,0.0281,success
IMG_20211106_135842 (Custom).jpg,Bacterial Canker,16943,0.2206,success
IMG_20211106_135449 (Custom).jpg,Bacterial Canker,7077,0.0921,success
IMG_20211106_141245 (Custom).jpg,Bacterial Canker,7121,0.0927,success
IMG_20211106_140710 (Custom).jpg,Bacterial Canker,27164,0.3537,success
IMG_20211106_141848 (Custom).jpg,Bacterial Canker,9501,0.1237,success
IMG_20211106_135845 (Custom).jpg,Bacterial Canker,22844,0.2974,success
IMG_20211106_135810 (Custom).jpg,Bacterial Canker,43154,0.5619,success
IMG_20211106_141242 (Custom).jpg,Bacterial Canker,7108,0.0926,success
IMG_20211106_141217 (Custom).jpg,Bacterial Canker,22734,0.2960,success
IMG_20211106_143059 (Custom).jpg,Bacterial Canker,11730,0.1527,success
IMG_20211106_142952 (Custom).jpg,Bacterial Canker,4091,0.0533,success
IMG_20211106_142907 (Custom).jpg,Bacterial Canker,3867,0.0504,success
IMG_20211106_141335 (Custom).jpg,Bacterial Canker,6964,0.0907,success
